"id","Kunta","Kuukausi","maakunta_id","Maakunta","Kuntien välinen nettomuutto","muutos"
"287","Kristiinankaupunki",2024-07-01,"15","Pohjanmaa","-15",-125
"746","Sievi",2024-07-01,"17","Pohjois-Pohjanmaa","-19",-125
"140","Iisalmi",2024-07-01,"11","Pohjois-Savo","-15",-128
"422","Lieksa",2024-07-01,"12","Pohjois-Karjala","-12",-129
"425","Liminka",2024-07-01,"17","Pohjois-Pohjanmaa","-25",-138
"886","Ulvila",2024-07-01,"04","Satakunta","-11",-138
"505","Mäntsälä",2024-07-01,"01","Uusimaa","11",-139
"698","Rovaniemi",2024-07-01,"19","Lappi","-49",-145
"895","Uusikaupunki",2024-07-01,"02","Varsinais-Suomi","-11",-145
"182","Jämsä",2024-07-01,"13","Keski-Suomi","-36",-148
"186","Järvenpää",2024-07-01,"01","Uusimaa","-110",-149
"233","Kauhava",2024-07-01,"14","Etelä-Pohjanmaa","22",-150
"992","Äänekoski",2024-07-01,"13","Keski-Suomi","-40",-153
"915","Varkaus",2024-07-01,"11","Pohjois-Savo","-28",-154
"305","Kuusamo",2024-07-01,"17","Pohjois-Pohjanmaa","-27",-157
"740","Savonlinna",2024-07-01,"10","Etelä-Savo","-26",-161
"153","Imatra",2024-07-01,"09","Etelä-Karjala","31",-164
"075","Hamina",2024-07-01,"08","Kymenlaakso","-9",-179
"598","Pietarsaari",2024-07-01,"15","Pohjanmaa","-30",-179
"061","Forssa",2024-07-01,"05","Kanta-Häme","-27",-185
"927","Vihti",2024-07-01,"01","Uusimaa","22",-198
"167","Joensuu",2024-07-01,"12","Pohjois-Karjala","-160",-206
"734","Salo",2024-07-01,"02","Varsinais-Suomi","8",-217
"109","Hämeenlinna",2024-07-01,"05","Kanta-Häme","-27",-223
"678","Raahe",2024-07-01,"17","Pohjois-Pohjanmaa","-28",-271
"205","Kajaani",2024-07-01,"18","Kainuu","-80",-340
"286","Kouvola",2024-07-01,"08","Kymenlaakso","-27",-368
"405","Lappeenranta",2024-07-01,"09","Etelä-Karjala","-32",-381
"905","Vaasa",2024-07-01,"15","Pohjanmaa","-16",-383
"092","Vantaa",2024-07-01,"01","Uusimaa","11",-555
