"id","Kunta","maakunta_id","Maakunta","Väestö 31.12.","Ennakkotieto","muutos"
"475","Maalahti","15","Pohjanmaa","5456","5419",-0.68
"739","Savitaipale","09","Etelä-Karjala","3216","3194",-0.68
"445","Parainen","02","Varsinais-Suomi","14999","14895",-0.69
"535","Nivala","17","Pohjois-Pohjanmaa","10454","10381",-0.7
"079","Harjavalta","04","Satakunta","6703","6655",-0.72
"765","Sotkamo","18","Kainuu","10274","10200",-0.72
"889","Utajärvi","17","Pohjois-Pohjanmaa","2491","2473",-0.72
"233","Kauhava","14","Etelä-Pohjanmaa","15165","15055",-0.73
"498","Muonio","19","Lappi","2325","2308",-0.73
"111","Heinola","07","Päijät-Häme","17953","17816",-0.76
